


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust (# > 1.0 Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
07/09/2022	12:57:46	1662526666.668692590	68.0	Sample	Sample	1.0886E+0	1.1856E+4	1.8000E+1	8.0000E-1	2.3300E+1	2.5000E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:47	1662526667.668749810	69.0	Sample	Sample	9.7000E-1	1.1837E+4	1.9000E+1	8.0000E-1	2.3300E+1	2.4200E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:48	1662526668.668807030	70.0	Sample	Sample	1.1456E+0	1.1818E+4	1.9000E+1	8.2000E-1	2.3300E+1	2.2200E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:49	1662526669.668864250	71.0	Sample	Sample	1.0795E+0	1.1799E+4	1.9000E+1	8.4000E-1	2.3300E+1	2.0100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:50	1662526670.668921470	72.0	Sample	Sample	9.6395E-1	1.1781E+4	1.8000E+1	8.6000E-1	2.3300E+1	2.1500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:51	1662526671.668978690	73.0	Sample	Sample	1.1280E+0	1.1762E+4	1.9000E+1	8.6000E-1	2.3300E+1	1.7500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:52	1662526672.669035910	74.0	Sample	Sample	1.1700E+0	1.1743E+4	1.9000E+1	8.6000E-1	2.3300E+1	1.9500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:53	1662526673.668093200	75.0	Sample	Sample	9.5740E-1	1.1725E+4	1.8000E+1	8.7000E-1	2.3300E+1	1.8500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:54	1662526674.668150420	76.0	Sample	Sample	9.5360E-1	1.1706E+4	1.9000E+1	8.7000E-1	2.3300E+1	1.8900E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:55	1662526675.668207640	77.0	Sample	Sample	1.1605E+0	1.1687E+4	1.9000E+1	8.7000E-1	2.3300E+1	1.8800E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
